station_id,ev_network,state,label,primary_path,context_path
311387,Blink Network,IA,in_garage,data-ev\data\images\primary\311387_primary_7440e66e0bd3.png,data-ev\data\images\context\311387_context_7440e66e0bd3.png
149367,Tesla,IN,no_shade,data-ev\data\images\primary\149367_primary_39e8ac7b66fe.png,data-ev\data\images\context\149367_context_39e8ac7b66fe.png
422166,Electrify America,NY,no_shade,data-ev\data\images\primary\422166_primary_acefc0389670.png,data-ev\data\images\context\422166_context_acefc0389670.png
356064,Tesla,NY,no_shade,data-ev\data\images\primary\356064_primary_6f7bbdbe44e9.png,data-ev\data\images\context\356064_context_6f7bbdbe44e9.png
322766,ChargePoint Network,CA,in_garage,data-ev\data\images\primary\322766_primary_307079e506a6.png,data-ev\data\images\context\322766_context_307079e506a6.png
367608,eVgo Network,TX,in_garage,data-ev\data\images\primary\367608_primary_693aec427140.png,data-ev\data\images\context\367608_context_693aec427140.png
228289,eVgo Network,CA,no_shade,data-ev\data\images\primary\228289_primary_6be62cf3067a.png,data-ev\data\images\context\228289_context_6be62cf3067a.png
350559,GRAVITY_CHARGING_CENTER,NY,shade_structure,data-ev\data\images\primary\350559_primary_d179059d3d76.png,data-ev\data\images\context\350559_context_d179059d3d76.png
372447,ChargePoint Network,CO,shade_structure,data-ev\data\images\primary\372447_primary_2e9b87bcccb3.png,data-ev\data\images\context\372447_context_2e9b87bcccb3.png
355710,MERCEDES_BENZ,TX,no_shade,data-ev\data\images\primary\355710_primary_e5e3b627fbb2.png,data-ev\data\images\context\355710_context_e5e3b627fbb2.png
327206,ChargePoint Network,CO,no_shade,data-ev\data\images\primary\327206_primary_a82c0639639b.png,data-ev\data\images\context\327206_context_a82c0639639b.png
228801,eVgo Network,GA,no_shade,data-ev\data\images\primary\228801_primary_8ea74a725a95.png,data-ev\data\images\context\228801_context_8ea74a725a95.png
451703,FPLEV,FL,no_shade,data-ev\data\images\primary\451703_primary_3f69c529201d.png,data-ev\data\images\context\451703_context_3f69c529201d.png
164000,Tesla,KY,no_shade,data-ev\data\images\primary\164000_primary_4b794887d481.png,data-ev\data\images\context\164000_context_4b794887d481.png
372113,BP_PULSE,FL,no_shade,data-ev\data\images\primary\372113_primary_b0b3e1be95bc.png,data-ev\data\images\context\372113_context_b0b3e1be95bc.png
102183,Tesla,KS,no_shade,data-ev\data\images\primary\102183_primary_e817556ca3b5.png,data-ev\data\images\context\102183_context_e817556ca3b5.png
170526,Tesla,WA,no_shade,data-ev\data\images\primary\170526_primary_ae738f010550.png,data-ev\data\images\context\170526_context_ae738f010550.png
63047,POWERFLEX,CA,no_shade,data-ev\data\images\primary\63047_primary_dca1b73b4989.png,data-ev\data\images\context\63047_context_dca1b73b4989.png
320135,Tesla,MD,no_shade,data-ev\data\images\primary\320135_primary_17e1d8462b1e.png,data-ev\data\images\context\320135_context_17e1d8462b1e.png
449142,ChargePoint Network,CA,no_shade,data-ev\data\images\primary\449142_primary_1e0db3bb5d82.png,data-ev\data\images\context\449142_context_1e0db3bb5d82.png
351935,EV Connect,MA,no_shade,data-ev\data\images\primary\351935_primary_883563ce1bfc.png,data-ev\data\images\context\351935_context_883563ce1bfc.png
259768,ChargePoint Network,NJ,no_shade,data-ev\data\images\primary\259768_primary_d8cb92440c82.png,data-ev\data\images\context\259768_context_d8cb92440c82.png
322657,ChargePoint Network,PA,no_shade,data-ev\data\images\primary\322657_primary_aeb0120bced8.png,data-ev\data\images\context\322657_context_aeb0120bced8.png
261462,Tesla,TX,no_shade,data-ev\data\images\primary\261462_primary_0476df115fe9.png,data-ev\data\images\context\261462_context_0476df115fe9.png
197707,ChargePoint Network,NC,no_shade,data-ev\data\images\primary\197707_primary_18417ca2eff2.png,data-ev\data\images\context\197707_context_18417ca2eff2.png
450155,DIRT_ROAD,CA,no_shade,data-ev\data\images\primary\450155_primary_fb59956b18b2.png,data-ev\data\images\context\450155_context_fb59956b18b2.png
250554,ChargePoint Network,CA,no_shade,data-ev\data\images\primary\250554_primary_072e61e68a40.png,data-ev\data\images\context\250554_context_072e61e68a40.png
298646,GRAVITI_ENERGY,CO,no_shade,data-ev\data\images\primary\298646_primary_7772cdbe6b4a.png,data-ev\data\images\context\298646_context_7772cdbe6b4a.png
454188,eVgo Network,WA,no_shade,data-ev\data\images\primary\454188_primary_39aea94087d0.png,data-ev\data\images\context\454188_context_39aea94087d0.png
367643,EV Connect,VT,no_shade,data-ev\data\images\primary\367643_primary_6537939c199b.png,data-ev\data\images\context\367643_context_6537939c199b.png
122292,Tesla,MI,no_shade,data-ev\data\images\primary\122292_primary_c957ca36c6c3.png,data-ev\data\images\context\122292_context_c957ca36c6c3.png
390510,REVEL,CA,in_garage,data-ev\data\images\primary\390510_primary_5fca088a9831.png,data-ev\data\images\context\390510_context_5fca088a9831.png
420932,Non-Networked,CA,in_garage,data-ev\data\images\primary\420932_primary_d222d3a7d9c7.png,data-ev\data\images\context\420932_context_d222d3a7d9c7.png
397107,ChargePoint Network,IA,no_shade,data-ev\data\images\primary\397107_primary_6203dcc896be.png,data-ev\data\images\context\397107_context_6203dcc896be.png
326025,ChargePoint Network,CT,in_garage,data-ev\data\images\primary\326025_primary_600346b9a3f9.png,data-ev\data\images\context\326025_context_600346b9a3f9.png
150207,Tesla,NY,no_shade,data-ev\data\images\primary\150207_primary_99d06a1a3905.png,data-ev\data\images\context\150207_context_99d06a1a3905.png
183302,ChargePoint Network,CA,in_garage,data-ev\data\images\primary\183302_primary_c356cf4fee46.png,data-ev\data\images\context\183302_context_c356cf4fee46.png
355584,ChargePoint Network,OH,no_shade,data-ev\data\images\primary\355584_primary_13edd41f6c7e.png,data-ev\data\images\context\355584_context_13edd41f6c7e.png
228088,eVgo Network,CA,no_shade,data-ev\data\images\primary\228088_primary_a0f202d08935.png,data-ev\data\images\context\228088_context_a0f202d08935.png
201423,Electrify America,WA,no_shade,data-ev\data\images\primary\201423_primary_b2df9e8440f6.png,data-ev\data\images\context\201423_context_b2df9e8440f6.png
351500,ChargePoint Network,NJ,no_shade,data-ev\data\images\primary\351500_primary_a086558fe313.png,data-ev\data\images\context\351500_context_a086558fe313.png
397441,CIRCLE_K,CO,,data-ev\data\images\primary\397441_primary_01c567897c6f.png,data-ev\data\images\context\397441_context_01c567897c6f.png
386866,ChargePoint Network,NY,,data-ev\data\images\primary\386866_primary_c207db94ce7e.png,data-ev\data\images\context\386866_context_c207db94ce7e.png
374594,FCN,OK,,data-ev\data\images\primary\374594_primary_fc32613499e0.png,data-ev\data\images\context\374594_context_fc32613499e0.png
171386,ChargePoint Network,MI,,data-ev\data\images\primary\171386_primary_f0528edf8f2e.png,data-ev\data\images\context\171386_context_f0528edf8f2e.png
192698,SWTCH,MD,,data-ev\data\images\primary\192698_primary_a1405d311f45.png,data-ev\data\images\context\192698_context_a1405d311f45.png
