station_id,station_name,state,ev_network,primary_path,context_path,label
311387,DeYarman Knoxville,IA,Blink Network,data-ev\data\images\primary\311387_primary_7440e66e0bd3.png,data-ev\data\images\context\311387_context_7440e66e0bd3.png,
149367,Meijer - Tesla Supercharger,IN,Tesla,data-ev\data\images\primary\149367_primary_39e8ac7b66fe.png,data-ev\data\images\context\149367_context_39e8ac7b66fe.png,
422166,EVolve NY Phelps,NY,Electrify America,data-ev\data\images\primary\422166_primary_acefc0389670.png,data-ev\data\images\context\422166_context_acefc0389670.png,
356064,Dandy Mini Mart - Tesla Supercharger,NY,Tesla,data-ev\data\images\primary\356064_primary_6f7bbdbe44e9.png,data-ev\data\images\context\356064_context_6f7bbdbe44e9.png,
322766,WCH POWER 1 WEIRDC1,CA,ChargePoint Network,data-ev\data\images\primary\322766_primary_307079e506a6.png,data-ev\data\images\context\322766_context_307079e506a6.png,
367608,Flying J 730,TX,eVgo Network,data-ev\data\images\primary\367608_primary_693aec427140.png,data-ev\data\images\context\367608_context_693aec427140.png,
228289,BevMo!,CA,eVgo Network,data-ev\data\images\primary\228289_primary_6be62cf3067a.png,data-ev\data\images\context\228289_context_6be62cf3067a.png,
350559,Gravity Charging Center,NY,GRAVITY_CHARGING_CENTER,data-ev\data\images\primary\350559_primary_d179059d3d76.png,data-ev\data\images\context\350559_context_d179059d3d76.png,
372447,GPM INVESTMENTS 4588 DC 2,CO,ChargePoint Network,data-ev\data\images\primary\372447_primary_2e9b87bcccb3.png,data-ev\data\images\context\372447_context_2e9b87bcccb3.png,
355710,MB BUCEES FORT WORTH 7-8,TX,MERCEDES_BENZ,data-ev\data\images\primary\355710_primary_e5e3b627fbb2.png,data-ev\data\images\context\355710_context_e5e3b627fbb2.png,
327206,38351 PWR MGMT 38351 CMRCE PL1,CO,ChargePoint Network,data-ev\data\images\primary\327206_primary_a82c0639639b.png,data-ev\data\images\context\327206_context_a82c0639639b.png,
228801,Stone Mountain Square,GA,eVgo Network,data-ev\data\images\primary\228801_primary_8ea74a725a95.png,data-ev\data\images\context\228801_context_8ea74a725a95.png,
451703,Lake Minnie Plaza,FL,FPLEV,data-ev\data\images\primary\451703_primary_3f69c529201d.png,data-ev\data\images\context\451703_context_3f69c529201d.png,
164000,Meijer - Tesla Supercharger,KY,Tesla,data-ev\data\images\primary\164000_primary_4b794887d481.png,data-ev\data\images\context\164000_context_4b794887d481.png,
372113,"Thorntons, Gunn Hwy, Tampa, FL",FL,BP_PULSE,data-ev\data\images\primary\372113_primary_b0b3e1be95bc.png,data-ev\data\images\context\372113_context_b0b3e1be95bc.png,
102183,Applebee's - Tesla Supercharger,KS,Tesla,data-ev\data\images\primary\102183_primary_e817556ca3b5.png,data-ev\data\images\context\102183_context_e817556ca3b5.png,
170526,Shell Gas Station/BJ's - Tesla Supercharger,WA,Tesla,data-ev\data\images\primary\170526_primary_ae738f010550.png,data-ev\data\images\context\170526_context_ae738f010550.png,
63047,LA County ISD Walt Disney Parking Garage P3,CA,POWERFLEX,data-ev\data\images\primary\63047_primary_dca1b73b4989.png,data-ev\data\images\context\63047_context_dca1b73b4989.png,
320135,"Port Deposit, MD - Tesla Supercharger",MD,Tesla,data-ev\data\images\primary\320135_primary_17e1d8462b1e.png,data-ev\data\images\context\320135_context_17e1d8462b1e.png,
449142,IN-N-OUT ATLANTIC 01,CA,ChargePoint Network,data-ev\data\images\primary\449142_primary_1e0db3bb5d82.png,data-ev\data\images\context\449142_context_1e0db3bb5d82.png,
351935,625 Pleasant St,MA,EV Connect,data-ev\data\images\primary\351935_primary_883563ce1bfc.png,data-ev\data\images\context\351935_context_883563ce1bfc.png,
259768,375 RT17 PARAMUS DC LT,NJ,ChargePoint Network,data-ev\data\images\primary\259768_primary_d8cb92440c82.png,data-ev\data\images\context\259768_context_d8cb92440c82.png,
322657,COCHRANAUTO BTL SUBR L3,PA,ChargePoint Network,data-ev\data\images\primary\322657_primary_aeb0120bced8.png,data-ev\data\images\context\322657_context_aeb0120bced8.png,
261462,"Arlington, TX - East Bardin Road - Tesla Supercharger",TX,Tesla,data-ev\data\images\primary\261462_primary_0476df115fe9.png,data-ev\data\images\context\261462_context_0476df115fe9.png,
197707,RED BEAR STATION 1,NC,ChargePoint Network,data-ev\data\images\primary\197707_primary_18417ca2eff2.png,data-ev\data\images\context\197707_context_18417ca2eff2.png,
450155,SDSU River Park Chargers,CA,DIRT_ROAD,data-ev\data\images\primary\450155_primary_fb59956b18b2.png,data-ev\data\images\context\450155_context_fb59956b18b2.png,
250554,TRUCK.NET TRUCK.NET #2,CA,ChargePoint Network,data-ev\data\images\primary\250554_primary_072e61e68a40.png,data-ev\data\images\context\250554_context_072e61e68a40.png,
298646,Washington Plaza,CO,GRAVITI_ENERGY,data-ev\data\images\primary\298646_primary_7772cdbe6b4a.png,data-ev\data\images\context\298646_context_7772cdbe6b4a.png,
454188,Flying J Travel Center 1169,WA,eVgo Network,data-ev\data\images\primary\454188_primary_39aea94087d0.png,data-ev\data\images\context\454188_context_39aea94087d0.png,
367643,Springfield Cadillac,VT,EV Connect,data-ev\data\images\primary\367643_primary_6537939c199b.png,data-ev\data\images\context\367643_context_6537939c199b.png,
122292,Meijer - Tesla Supercharger,MI,Tesla,data-ev\data\images\primary\122292_primary_c957ca36c6c3.png,data-ev\data\images\context\122292_context_c957ca36c6c3.png,
390510,Revel Mission District,CA,REVEL,data-ev\data\images\primary\390510_primary_5fca088a9831.png,data-ev\data\images\context\390510_context_5fca088a9831.png,
420932,W.L.K.S.T. Partners,CA,Non-Networked,data-ev\data\images\primary\420932_primary_d222d3a7d9c7.png,data-ev\data\images\context\420932_context_d222d3a7d9c7.png,
397107,L195 LVL 3 EXPP 1,IA,ChargePoint Network,data-ev\data\images\primary\397107_primary_6203dcc896be.png,data-ev\data\images\context\397107_context_6203dcc896be.png,
326025,BRANDFON HYUN STATION 2,CT,ChargePoint Network,data-ev\data\images\primary\326025_primary_600346b9a3f9.png,data-ev\data\images\context\326025_context_600346b9a3f9.png,
150207,QuickChek - Tesla Supercharger,NY,Tesla,data-ev\data\images\primary\150207_primary_99d06a1a3905.png,data-ev\data\images\context\150207_context_99d06a1a3905.png,
183302,META MPK22-01 FC,CA,ChargePoint Network,data-ev\data\images\primary\183302_primary_c356cf4fee46.png,data-ev\data\images\context\183302_context_c356cf4fee46.png,
355584,JEFF WYLER EXPR PLUS PL,OH,ChargePoint Network,data-ev\data\images\primary\355584_primary_13edd41f6c7e.png,data-ev\data\images\context\355584_context_13edd41f6c7e.png,
228088,Menifee Town Center,CA,eVgo Network,data-ev\data\images\primary\228088_primary_a0f202d08935.png,data-ev\data\images\context\228088_context_a0f202d08935.png,
201423,"Kroger Fred Meyer 691 (Gig Harbor, WA)",WA,Electrify America,data-ev\data\images\primary\201423_primary_b2df9e8440f6.png,data-ev\data\images\context\201423_context_b2df9e8440f6.png,
351500,DT&P HOBOKEN DC2,NJ,ChargePoint Network,data-ev\data\images\primary\351500_primary_a086558fe313.png,data-ev\data\images\context\351500_context_a086558fe313.png,
